test,impl,mode,measure,iters,warmup,repeat,instructions,cycles,context_switches,acc_correct,acc_total,acc_pct
TestC,CIM,t10k,total,65,10,4,226061404,225496200,11,,,
TestC,CIM,t10k,total,65,10,5,227818862,227655530,8,,,
TestC,CIM,t10k,total,70,10,1,249526696,249351494,10,,,
TestC,CIM,t10k,total,70,10,2,243204044,242741588,9,,,
TestC,CIM,t10k,total,70,10,3,241091804,240766600,12,,,
TestC,CIM,t10k,total,70,10,4,185070588,184861486,10,,,
TestC,CIM,t10k,total,70,10,5,180411040,180215056,13,,,
TestC,CPU,t10k,total,1,10,1,5058566,4861530,9,,,
TestC,CPU,t10k,total,1,10,2,5229708,5037158,12,,,
TestC,CPU,t10k,total,1,10,3,5028638,4842296,9,,,
TestC,CPU,t10k,total,1,10,4,5015042,4816140,12,,,
TestC,CPU,t10k,total,1,10,5,5432464,5230448,10,,,
TestC,CPU,t10k,total,2,10,1,8662916,8462232,10,,,
TestC,CPU,t10k,total,2,10,2,9126598,8913350,10,,,
TestC,CPU,t10k,total,2,10,3,8627568,8429892,10,,,
TestC,CPU,t10k,total,2,10,4,8849230,8664760,10,,,
TestC,CPU,t10k,total,2,10,5,9605138,9400390,9,,,
TestC,CPU,t10k,total,3,10,1,12723148,12527118,11,,,
TestC,CPU,t10k,total,3,10,2,12888826,12686020,9,,,
TestC,CPU,t10k,total,3,10,3,13253442,13070262,10,,,
TestC,CPU,t10k,total,3,10,4,12764368,12575758,8,,,
TestC,CPU,t10k,total,3,10,5,12927402,12731394,11,,,
TestC,CPU,t10k,total,4,10,1,16319734,16121058,10,,,
TestC,CPU,t10k,total,4,10,2,17036368,16847354,10,,,
TestC,CPU,t10k,total,4,10,3,17017560,16836908,10,,,
TestC,CPU,t10k,total,4,10,4,16919942,16839000,11,,,
TestC,CPU,t10k,total,4,10,5,16473716,16276464,8,,,
TestC,CPU,t10k,total,5,10,1,20225546,20035016,10,,,
TestC,CPU,t10k,total,5,10,2,20764342,20583220,10,,,
TestC,CPU,t10k,total,5,10,3,20253082,20056090,11,,,
TestC,CPU,t10k,total,5,10,4,20651506,20472238,11,,,
TestC,CPU,t10k,total,5,10,5,20589648,20399910,10,,,
TestC,CPU,t10k,total,10,10,1,39473604,39289306,12,,,
TestC,CPU,t10k,total,10,10,2,40630904,40414008,9,,,
TestC,CPU,t10k,total,10,10,3,39961760,39730228,7,,,
TestC,CPU,t10k,total,10,10,4,40989700,40836590,10,,,
