test,impl,mode,measure,iters,warmup,runs,instr_mean,instr_median,instr_q1,instr_q3,cycles_mean,cycles_median,cycles_q1,cycles_q3,ctxsw_mean,ctxsw_median,ctxsw_q1,ctxsw_q3,instr_iqr,cycles_iqr,ctxsw_iqr
TestA,CIM,single,steady,10000,10,5,2804215.1322,2857160.0988,2783019.0984,2893216.5246,2804152.63552,2857173.148,2783026.304,2892855.375,0.005540000000000001,0.0054,0.0053,0.006,110197.4262000001,109829.071,0.0007000000000000001
TestA,CIM,t10k,steady,10000,10,5,3082772.8742,2983587.0816,2926830.7808,3305057.075,3082797.75356,2983612.0372,2926848.6706,3305108.026,0.00668,0.0062,0.0061,0.0064,378226.29420000035,378259.35540000023,0.0002999999999999999
TestA,CPU,single,steady,10000,10,5,3781602.89476,3769673.4356,3744276.2866,3818236.4066,3781621.6169200004,3769691.1288,3744273.2988,3818280.9076,0.00674,0.0067,0.0066,0.007,73960.11999999965,74007.60880000005,0.0004000000000000002
TestA,CPU,t10k,steady,10000,10,5,3802342.7012,3804559.3592,3792223.5798,3807709.6982,3802358.3339200006,3804570.0608,3792235.9144,3807731.5614,0.006959999999999999,0.007,0.0069,0.007,15486.118400000036,15495.64699999988,0.00010000000000000026
